id,name,city,rating,rating_count,cost,cuisine,lic_no,link,address,menu
110906,Mohit Dhaba,Bathinda,4.3,50,130.0,North Indian,12118081000024,https://www.swiggy.com/restaurants/mohit-dhaba-the-mall-road-shakti-nagar-bathinda-110906,"Mohit Dhaba, Opp. Railway Station, The Mall Road, Bathinda",Menu/110906.json
387802,Punjabi Paneer Tikka,Bathinda,3.4,100,150.0,"Chinese,North Indian",22121008000101,https://www.swiggy.com/restaurants/punjabi-paneer-tikka-bathinda-city-bathinda-387802,"Punjabi Paneer Tikka, 100 Feet Road, Near ICICI Bank, Bathinda, bathinda-151001",Menu/387802.json
193308,Wrapchik,Bathinda,4.5,50,150.0,"American,Chinese",22220512000410,https://www.swiggy.com/restaurants/wrapchik-city-batinda-bathinda-193308,"Wrapchik, Bathinda, Punjab, India",Menu/193308.json
158078,Honey Dhaba (Amrik Singh Road),Bathinda,3.8,20,100.0,"North Indian,Chinese",22119646000215,https://www.swiggy.com/restaurants/honey-dhaba-amrik-singh-road-amrik-singh-road-prasram-nagar-bathinda-158078,"Honey Dhaba (Amrik Singh Road), 1 A,21, Ajit Rd, Batinda, Bathinda,Indiage, Batinda, Bathinda,India",Menu/158078.json
258653,Deepak Dhaba,Bathinda,3.8,100,100.0,"Indian,Tandoor",12118081000253,https://www.swiggy.com/restaurants/deepak-dhaba-city-old-city-bathinda-258653,"Deepak Dhaba, Opp Railway Station, Bathinda",Menu/258653.json
111171,Nationals Bakery,Bathinda,3.3,50,200.0,Bakery,12119081000109,https://www.swiggy.com/restaurants/nationals-bakery-the-mall-road-old-city-bathinda-111171,"Nationals Bakery, Post Office Market, Bathinda",Menu/111171.json
472516,The Black Hub,Bathinda,3.9,20,150.0,"Chinese,Snacks",22121008000063,https://www.swiggy.com/restaurants/the-black-hub-bathinda-city-bathinda-472516,"The Black Hub, Opp. Street No-98,Beside ELI Institute,Ajit Road , Bathinda, Punjab-151001",Menu/472516.json
138823,LC ...generates hunger,Bathinda,3.8,20,100.0,"Chinese,Fast Food",22121646000226,https://www.swiggy.com/restaurants/lc-generates-hunger-100-ft-road-batinda-bathinda-138823,"LC ...generates hunger, 100 ft road opp hug ice parlour",Menu/138823.json
190490,Snakkers,Bathinda,4.1,100,200.0,"Beverages,Snacks",22120646000318,https://www.swiggy.com/restaurants/snakkers-city-civil-lines-bathinda-190490,"Snakkers, 100 Ft Road, Behind Kathi Junction, Near Powerhouse Road Lights, Bathinda",Menu/190490.json
448520,Pizza Scientist,Bathinda,3.6,20,100.0,"Pizzas,Italian",22121646000447,https://www.swiggy.com/restaurants/pizza-scientist-bathinda-city-bathinda-448520,"Pizza Scientist, NEAR GHORA CHOWK, 100 FEET ROAD, BATHINDA , Bathinda , Bathinda-2 (Goneana, P/S Civil Lines, Bathinda Cantt), Bathinda, Punjab-151001",Menu/448520.json
440638,Jetha Nand Narain Dass Sweets And Namkeen,Bathinda,4.3,20,100.0,"Snacks,Sweets",22121646000230,https://www.swiggy.com/restaurants/jetha-nand-narain-dass-sweets-and-namkeen-bathinda-city-bathinda-440638,"Jetha Nand Narain Dass Sweets And Namkeen, Narayan Das H 5434 P WCHD, Quila Road, Poojjan Wala Chowk, Bathinda, Punjab 151001",Menu/440638.json
119514,Pizza Hut,Bathinda,3.8,100,350.0,Pizzas,12118081000146,https://www.swiggy.com/restaurants/pizza-hut-the-food-street-mcb-no-z-2-bharat-nagar-bathinda-119514,"Pizza Hut, THE FOOD STREET MCB NO Z-2  10676 BIBI WALA ROAD,  NEAR DHILLON GYM BHATINDA, PUNJAB 151001",Menu/119514.json
181020,The Burger Cafe,Bathinda,3.9,20,150.0,Snacks,license,https://www.swiggy.com/restaurants/the-burger-cafe-100-feet-road-batinda-bathinda-181020,"The Burger Cafe, 100 Feet Road",Menu/181020.json
109822,Grill Masters,Bathinda,3.6,20,300.0,Chinese,20819001000072,https://www.swiggy.com/restaurants/grill-masters-100-feet-road-batinda-bathinda-109822,"Grill Masters, 100 Feet Road, Opp Axis Bank, Bathinda",Menu/109822.json
138821,Shami Vaishno Dhaba,Bathinda,2.9,20,100.0,"North Indian,Chinese",license,https://www.swiggy.com/restaurants/shami-vaishno-dhaba-railway-sation-old-city-bathinda-138821,"Shami Vaishno Dhaba, Opp. Railway Station, Bathinda",Menu/138821.json
365609,Keventers - Milkshakes and Desserts,Bathinda,3.9,50,300.0,"Beverages,Ice Cream",12120081000088,https://www.swiggy.com/restaurants/keventers-milkshakes-and-desserts-food-library-bharat-nagar-bathinda-365609,"Keventers - Milkshakes and Desserts, Food Library, Bbiwala road,Bathinda - 151001",Menu/365609.json
197348,2 Bro's Pizza,Bathinda,3.6,100,200.0,"Chinese,Fast Food",license,https://www.swiggy.com/restaurants/2-bros-pizza-city-civil-lines-bathinda-197348,"2 Bro's Pizza, Phase-1, Model Town, Bathinda, Punjab, India",Menu/197348.json
110307,Sharmas Punjabi Paneer Tikka,Bathinda,3.9,50,200.0,North Indian,22120646990132,https://www.swiggy.com/restaurants/sharmas-punjabi-paneer-tikka-100-feet-road-batinda-bathinda-110307,"Sharmas Punjabi Paneer Tikka, 100 Feet Road, Bathinda",Menu/110307.json
115182,Tinkoni National Bakers,Bathinda,3.4,50,200.0,"Desserts,Snacks",12118081000163,https://www.swiggy.com/restaurants/tinkoni-national-bakers-gt-road-mata-jivi-nagar-bathinda-115182,"Tinkoni National Bakers, Parjapat Colony, Mata Jivi Nagar, Bathinda, Punjab 151001, India",Menu/115182.json
111338,Pappu Vaishno Dhaba,Bathinda,3.9,100,200.0,North Indian,22120646000364,https://www.swiggy.com/restaurants/pappu-vaishno-dhaba-the-mall-road-old-city-bathinda-111338,"Pappu Vaishno Dhaba, Near Railway Station, Mall Road, Bathinda",Menu/111338.json
109993,Punjabi Zaika,Bathinda,3.7,50,100.0,North Indian,22121649000026,https://www.swiggy.com/restaurants/punjabi-zaika-the-mall-road-shakti-nagar-bathinda-109993,"Punjabi Zaika, Opp Railway Staion, Bathinda",Menu/109993.json
129258,KGF Fresh Ice Cream,Bathinda,4.2,20,100.0,Desserts,12119081000065,https://www.swiggy.com/restaurants/kgf-fresh-ice-cream-calcutta-wali-gali-prasram-nagar-bathinda-129258,"KGF Fresh Ice Cream, calcutta wali gali",Menu/129258.json
109940,Hot & Fresh Canadian Pizza,Bathinda,4.3,50,300.0,Chinese,12118081000153,https://www.swiggy.com/restaurants/hot-and-fresh-canadian-pizza-civil-lines-bathinda-109940,"Hot & Fresh Canadian Pizza, 100 Feet Road, Near, Street Number 14, Civil Lines, Bathinda, Punjab 151001, India",Menu/109940.json
488937,Tom And Jerry Pizza,Bathinda,3.4,20,100.0,"Pizzas,Snacks",license,https://www.swiggy.com/restaurants/tom-and-jerry-pizza-bathinda-city-bathinda-488937,"Tom And Jerry Pizza, Near Mata jivi, nagar, Bathinda,Punjab",Menu/488937.json
135100,Amritsari Dhaba,Bathinda,4.1,50,100.0,Indian,12119081000072,https://www.swiggy.com/restaurants/amritsari-dhaba-amreek-singh-road-prasram-nagar-bathinda-135100,"Amritsari Dhaba, amreek singh road,near hotel amsun pride",Menu/135100.json
504964,Burgrill - The Win Win Burger,Bathinda,4.2,100,250.0,"Burgers,Healthy Food",12122081000039,https://www.swiggy.com/restaurants/burgrill-the-win-win-burger-bathinda-city-bathinda-504964,"Burgrill - The Win Win Burger, SCF-24-25, Model Town Phase 3, Bathinda 151001",Menu/504964.json
129250,Khalsa Desi Ghee Ke Paranthe,Bathinda,4.2,20,100.0,"North Indian,Punjabi",22120646000270,https://www.swiggy.com/restaurants/khalsa-desi-ghee-ke-paranthe-ajit-road-batinda-bathinda-129250,"Khalsa Desi Ghee Ke Paranthe, ajit road opp maheshwari park",Menu/129250.json
110267,Roti Wala,Bathinda,3.8,500,300.0,North Indian,12119081000212,https://www.swiggy.com/restaurants/roti-wala-gt-road-vishal-nagar-bathinda-110267,"Roti Wala, Opp.kapson,Near Mittal Mall, Bathinda, Punjab 151001",Menu/110267.json
492634,Sagar Ratna,Bathinda,4.0,20,500.0,"South Indian,Chinese",12115081000148,https://www.swiggy.com/restaurants/sagar-ratna-bathinda-city-bathinda-492634,"Sagar Ratna, MAIN G.T.ROAD,NEAR KAPSONS & BARAR EYE HOSPITAL, BATHINDA 151001",Menu/492634.json
453365,Sardarji malai chaap wale,Bathinda,3.7,20,150.0,"North Indian,Tandoor",22121646000485,https://www.swiggy.com/restaurants/sardarji-malai-chaap-wale-bathinda-city-bathinda-453365,"Sardarji malai chaap wale, SCO- 26,Phase-3, Model Town, opp Dadi Poti Park, Model Town, Phase-3, Model Town, Bathinda, Punjab 151001, India",Menu/453365.json
104380,Domino's Pizza,Bathinda,4.2,50,400.0,Pizzas,12115081000229,https://www.swiggy.com/restaurants/dominos-pizza-amarjeetz-complex-punjab-civil-lines-bathinda-104380,"Domino's Pizza, Ground Floor Amarjeet?z ComplexPlot no.SCF-12 & SCF 13situated at O.U.V.L.SchemeBDA 100 Ft roadBathinda Punjab 151001",Menu/104380.json
110282,Naples (Authentic Woodfire Pizza),Bathinda,3.6,50,150.0,Pizzas,22119646000370,https://www.swiggy.com/restaurants/naples-authentic-woodfire-pizza-100-feet-road-bharat-nagar-bathinda-110282,"Naples (Authentic Woodfire Pizza), Scf 15 Bharat Nagar market  Bibi Wala road, Bathinda",Menu/110282.json
